ID,Upvotes
366953,230
71864,78
141692,36
316833,10
440445,309
3514,17
331420,19
406540,85
227379,47
331687,13
32784,8
470377,43
338103,19
29883,287
218228,75
70945,724
14328,30
259947,121
346378,558
384621,6
425418,27
131224,145
365408,23
218626,7
331722,31
310969,18
307391,137
14072,260
238694,11
213841,9
165258,121
123606,32
214062,22
279450,462
178546,8
358455,25
386308,11
155592,20
200090,42
127308,10
449766,33
223688,438
442443,8
451259,445
87024,6
207529,196
196568,34
38258,271
387275,6
86152,26
302142,201
401268,440
307187,5
252388,7
844,10
105707,26
230309,304
362573,47
173751,84
349049,6
310466,15
205786,137
208358,42
440214,38
41343,47
427741,239
355001,52
137708,31
146326,419
220889,41
205742,1278
28737,28
292474,6
349149,8
46230,2
303160,62
292638,81
210116,5
55900,15
91135,6
452177,405
170628,6
237099,22
166022,27
175687,54
392847,7
454964,9
259259,27
289148,238
311134,13
62551,835
336258,10
468049,42
22189,43
264888,26
451615,366
85004,36
375246,90
60204,22
126097,14
182425,4802
449937,81
442637,11017
378184,18
357584,264
383054,27
299871,16
152764,20
22064,23
416791,39
440686,151
44537,6
80203,7
81726,22
440068,239
109276,25
120567,10
169520,252
84443,11
139139,48
346145,28
75219,19
244042,51
6992,30
337741,8
20091,817
420761,65
101501,4
408598,856
306979,6
50260,14
21088,7
462951,8
196903,9
155361,167
51756,16
192022,13
384071,4
173305,690
56449,21
172164,26
341063,35
431990,6
342757,88
335181,8
121613,15
40216,88
116940,78
351719,9
436421,4
173164,29
362350,4
357892,340
335957,66
192010,3
407412,24
19359,5
82078,41
375709,2142
122137,27
244661,46
434900,113
54220,12
425162,45
453118,59
373873,6
238415,524
53501,148
67918,10
68982,2
81980,26
332015,67
171470,10
24209,11
396455,155
236372,30
29062,242
248733,8
43097,17
401490,49
181282,21
285264,24
386230,6
262238,24
226323,23
224589,96
61,6
120331,5
59519,14
263459,508
188774,895
157423,20
204323,730
94807,17
130112,5
298030,215
361994,3
242867,49
345301,8
404296,3
403325,12
78570,20
247119,84
433907,1524
51709,9
256743,15
132448,39
429148,14
384840,5
434864,229
317954,114
452061,19
85212,29
373284,2
284208,256
233976,61
105691,1323
375077,198
26720,53
70683,91
281194,13
390953,212
59608,366
341707,41
403654,45
209246,74
295413,30
379392,396
261533,19
130134,27
137990,147
413320,51
468459,113
189150,6
381154,9
373043,24
231677,7823
438093,17
443706,25
230906,39
138183,10
78231,11
70795,7
283674,16
144543,25
213929,48
458437,985
279629,42
284422,5
29532,7
409963,46
325099,151
409635,683
18156,15
355380,14
412081,48
363354,29
354537,208
209720,11
150078,105
31479,91
455028,31
104579,576
102986,55
60804,15
361348,146
234054,7263
212541,13
452107,14
227926,22
340913,13
316690,199
223984,13
193558,1538
155138,496
36080,10
355444,51
310281,26
79606,92
16325,608
460657,308
159813,24
390567,81
340325,19
85871,11
360723,8229
200645,14
180440,263
9158,74
295966,153
131958,111
168051,208
246426,10
195598,9
6177,17
10574,2
181076,33
170742,18
123659,52
333658,11
293962,35
423136,200
90343,170
32867,125
143820,114
16783,88
286877,578
422113,6
42145,17
377322,8
232647,4
320851,56
74336,625
121520,54
46307,7
137345,20
426975,11
126697,5
188080,22
399469,54
132942,45
199602,449
335704,45
20602,5
458202,395
74016,31
374627,319
169941,89
267769,125
108489,10
51782,16
160092,35
152160,132
162504,13
286106,84
331480,44
451655,36
311726,6
199325,79
24806,14
237104,14
252830,90
273090,51
115172,34
28445,60
153732,111
40870,1
212207,19
411175,10
213177,29
149578,7
329243,138
26565,624
242893,491
163630,30
11802,6
434228,694
277388,567
116623,3231
12726,36
92182,8
308356,8
342196,24
435921,57
117479,1768
20084,28
110267,1118
211485,13
52505,14
105490,46
400015,21
376091,18
169994,18
447639,42
371187,12
90597,21
142364,12
337332,312
381967,348
333824,31
148970,25
164926,39
283475,64
385738,52
351580,51
252511,54
74994,13
181215,4
175240,20
326299,42
147014,52
43,31
168852,23
139899,187
92827,27
165023,6
65135,114
438924,17
124065,58
468868,12
